scenario,strategy,concurrency,backend_ms,iteration,actual_loads,expected_loads,duplicate_loads,amplification,throughput,p50_ms,p95_ms,p99_ms,max_ms,lock_contentions,unrelated_key_wait_ms,flights_created,coalesced_callers,peak_waiters,ttl_ms,request_count,successful_requests,cache_hits,cache_misses,peak_concurrent_loads,lock_acquisitions,lock_wait_ms,unrelated_key_contentions,coalescing_ratio,b_request_latency_ms,shuffle_seed,wave_offset_ms
HotKeyBurst,NaiveCacheAside,1,100,1,1,1,0,1,9.8862683686866291,101.0934,101.0934,101.0934,101.0934,0,0,0,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,1,100,2,1,1,0,1,9.4786909548643692,105.4482,105.4482,105.4482,105.4482,0,0,0,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,1,100,3,1,1,0,1,9.6831855356447747,103.14400000000001,103.14400000000001,103.14400000000001,103.14400000000001,0,0,0,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,1,100,4,1,1,0,1,9.5608052875077565,104.5063,104.5063,104.5063,104.5063,0,0,0,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,1,100,5,1,1,0,1,9.4022341588808338,106.31010000000001,106.31010000000001,106.31010000000001,106.31010000000001,0,0,0,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,1,100,1,1,1,0,1,9.8992552790253594,100.9006,100.9006,100.9006,100.9006,0,0,0,0,0,1000,1,1,0,1,1,1,0,0,0,0,,0
HotKeyBurst,GlobalLock,1,100,2,1,1,0,1,9.8937607965664682,100.946,100.946,100.946,100.946,0,0,0,0,0,1000,1,1,0,1,1,1,0,0,0,0,,0
HotKeyBurst,GlobalLock,1,100,3,1,1,0,1,9.4005459837107352,106.2903,106.2903,106.2903,106.2903,0,0,0,0,0,1000,1,1,0,1,1,1,0,0,0,0,,0
HotKeyBurst,GlobalLock,1,100,4,1,1,0,1,9.2713807311039993,107.78270000000001,107.78270000000001,107.78270000000001,107.78270000000001,0,0,0,0,0,1000,1,1,0,1,1,1,0,0,0,0,,0
HotKeyBurst,GlobalLock,1,100,5,1,1,0,1,9.4503041580393266,105.7313,105.7313,105.7313,105.7313,0,0,0,0,0,1000,1,1,0,1,1,1,0,0,0,0,,0
HotKeyBurst,SingleFlight,1,100,1,1,1,0,1,9.4298078110870023,105.7719,105.7719,105.7719,105.7719,0,0,1,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,SingleFlight,1,100,2,1,1,0,1,9.7295098953980386,102.7042,102.7042,102.7042,102.7042,0,0,1,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,SingleFlight,1,100,3,1,1,0,1,9.2638053859764504,107.884,107.884,107.884,107.884,0,0,1,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,SingleFlight,1,100,4,1,1,0,1,9.8105869968517823,101.8695,101.8695,101.8695,101.8695,0,0,1,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,SingleFlight,1,100,5,1,1,0,1,9.5912773087643171,104.2377,104.2377,104.2377,104.2377,0,0,1,0,0,1000,1,1,0,1,1,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,2,100,1,2,1,1,2,19.91196918423649,100.3522,100.4079,100.4079,100.4079,0,0,0,0,0,1000,2,2,0,2,2,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,2,100,2,2,1,1,2,19.413706076490001,102.95569999999999,102.9898,102.9898,102.9898,0,0,0,0,0,1000,2,2,0,2,2,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,2,100,3,2,1,1,2,19.198132405679576,104.1088,104.1641,104.1641,104.1641,0,0,0,0,0,1000,2,2,0,2,2,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,2,100,4,2,1,1,2,18.888131264957039,105.75530000000001,105.85939999999999,105.85939999999999,105.85939999999999,0,0,0,0,0,1000,2,2,0,2,2,0,0,0,0,0,,0
HotKeyBurst,NaiveCacheAside,2,100,5,2,1,1,2,19.19894329016131,104.1071,104.1567,104.1567,104.1567,0,0,0,0,0,1000,2,2,0,2,2,0,0,0,0,0,,0
HotKeyBurst,GlobalLock,2,100,1,1,1,0,1,19.38221139402679,103.05200000000001,103.10850000000001,103.10850000000001,103.10850000000001,1,0,0,0,0,1000,2,2,0,2,1,2,103.0423,0,0,0,,0
HotKeyBurst,GlobalLock,2,100,2,1,1,0,1,19.117223949675822,104.3934,104.4836,104.4836,104.4836,1,0,0,0,0,1000,2,2,0,2,1,2,104.3683,0,0,0,,0
HotKeyBurst,GlobalLock,2,100,3,1,1,0,1,18.818694114359321,106.1482,106.1567,106.1567,106.1567,1,0,0,0,0,1000,2,2,0,2,1,2,106.14019999999999,0,0,0,,0
HotKeyBurst,GlobalLock,2,100,4,1,1,0,1,18.549141777582804,107.77670000000001,107.77930000000001,107.77930000000001,107.77930000000001,1,0,0,0,0,1000,2,2,0,2,1,2,107.7717,0,0,0,,0
HotKeyBurst,GlobalLock,2,100,5,1,1,0,1,18.827215115994473,106.1759,106.1897,106.1897,106.1897,1,0,0,0,0,1000,2,2,0,2,1,2,106.1691,0,0,0,,0
HotKeyBurst,SingleFlight,2,100,1,1,1,0,1,19.880122859159268,100.47620000000001,100.4832,100.4832,100.4832,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
HotKeyBurst,SingleFlight,2,100,2,1,1,0,1,19.425076024891293,102.8017,102.9057,102.9057,102.9057,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
HotKeyBurst,SingleFlight,2,100,3,1,1,0,1,19.007648677827959,105.1591,105.1797,105.1797,105.1797,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
HotKeyBurst,SingleFlight,2,100,4,1,1,0,1,19.886784535638608,100.5125,100.5408,100.5408,100.5408,0,0,1,1,1,1000,2,2,0,2,1,0,0,0,0.5,0,,0
